Población a 1 de enero. Por sexo y edad en grandes grupos
Municipios. 2000
Fuente: Idescat, a partir del Padrón continuo del INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1181&by=mun&t=200000&lang=es
Código;Literal;Hombres. De 0 a 14 años;Hombres. De 15 a 64 años;Hombres. 65 años o más;Mujeres. De 0 a 14 años;Mujeres. De 15 a 64 años;Mujeres. 65 años o más;Total. De 0 a 14 años;Total. De 15 a 64 años;Total. 65 años o más
439060;Ampolla, l';99;597;210;106;588;231;205;1185;441
430141;Amposta;1124;5594;1355;1123;5465;1711;2247;11059;3066
170084;Anglès;341;1727;459;308;1607;567;649;3334;1026
250273;Anglesola;61;420;171;73;389;163;134;809;334
250292;Arbeca;185;742;293;129;694;341;314;1436;634
430167;Arboç, l';275;1314;252;236;1135;339;511;2449;591
430154;Arbolí;6;49;15;0;47;22;6;96;37
170097;Arbúcies;398;1716;429;335;1604;544;733;3320;973
080060;Arenys de Mar;962;4155;929;867;4269;1428;1829;8424;2357
080076;Arenys de Munt;535;2161;401;479;2115;551;1014;4276;952
170101;Argelaguer;41;116;49;24;101;48;65;217;97
080082;Argençola;10;73;22;11;57;23;21;130;45
430173;Argentera, l';9;63;13;5;44;14;14;107;27
080095;Argentona;784;3360;562;721;3309;746;1505;6669;1308
170118;Armentera, l';42;249;84;40;221;120;82;470;204
430189;Arnes;26;149;93;22;130;97;48;279;190
250313;Arres;5;20;7;3;18;10;8;38;17
250328;Arsèguel;4;41;13;3;35;12;7;76;25
080109;Artés;328;1470;375;306;1415;474;634;2885;849
250334;Artesa de Lleida;88;463;132;82;386;175;170;849;307
250349;Artesa de Segre;196;1029;399;168;964;413;364;1993;812
430192;Ascó;112;583;169;106;520;217;218;1103;386
250365;Aspa;9;79;47;14;75;43;23;154;90
250371;Avellanes i Santa Linya, les;16;160;81;10;124;92;26;284;173
080116;Avià;112;621;197;109;565;241;221;1186;438
080121;Avinyó;149;647;181;146;631;245;295;1278;426
170123;Avinyonet de Puigventós;50;225;40;49;202;52;99;427;92
080137;Avinyonet del Penedès;61;438;120;64;331;153;125;769;273
080155;Badalona;15096;76103;11925;14144;74453;17223;29240;150556;29148
089045;Badia del Vallès;1146;5960;719;1040;5763;905;2186;11723;1624
080168;Bagà;125;669;210;149;654;271;274;1323;481
250390;Baix Pallars;9;133;65;9;93;54;18;226;119
250404;Balaguer;959;4404;1146;948;4312;1506;1907;8716;2652
080174;Balenyà;248;1120;192;246;1063;256;494;2183;448
080180;Balsareny;215;1077;298;197;1042;401;412;2119;699
430206;Banyeres del Penedès;117;678;90;90;587;132;207;1265;222
170157;Banyoles;1327;4876;1207;1197;4867;1610;2524;9743;2817
250411;Barbens;45;257;101;35;222;127;80;479;228
430213;Barberà de la Conca;25;130;47;19;118;70;44;248;117
082520;Barberà del Vallès;2283;10013;1097;2100;9746;1442;4383;19759;2539
080193;Barcelona;87631;484334;127680;83230;510322;203069;170861;994656;330749
250426;Baronia de Rialb, la;17;88;34;15;74;38;32;162;72
170160;Bàscara;57;286;79;29;276;95;86;562;174
250447;Bassella;21;83;52;17;84;51;38;167;103
430228;Batea;117;613;257;101;587;289;218;1200;546
250450;Bausen;1;20;15;1;10;15;2;30;30
080207;Begues;434;1498;176;410;1445;226;844;2943;402
170139;Begur;254;1235;240;262;1151;269;516;2386;509
250463;Belianes;29;151;80;27;161;102;56;312;182
251706;Bellaguarda;18;96;60;25;92;63;43;188;123
170182;Bellcaire d'Empordà;33;186;55;33;157;71;66;343;126
250479;Bellcaire d'Urgell;53;404;169;70;401;210;123;805;379
250485;Bell-lloc d'Urgell;127;694;229;155;659;260;282;1353;489
250498;Bellmunt d'Urgell;10;69;34;18;69;31;28;138;65
430234;Bellmunt del Priorat;11;93;47;10;77;72;21;170;119
080214;Bellprat;6;36;13;4;26;10;10;62;23
250501;Bellpuig;263;1395;351;260;1302;470;523;2697;821
430249;Bellvei;112;494;116;107;435;104;219;929;220
250518;Bellver de Cerdanya;99;596;166;78;495;180;177;1091;346
250523;Bellvís;117;664;286;119;631;356;236;1295;642
250539;Benavent de Segrià;60;338;71;66;294;75;126;632;146
430252;Benifallet;51;257;133;47;247;148;98;504;281
430265;Benissanet;72;327;124;49;305;145;121;632;269
080229;Berga;887;4647;1395;776;4632;1968;1663;9279;3363
170195;Besalú;112;648;211;114;646;265;226;1294;476
170209;Bescanó;234;1112;257;219;1043;322;453;2155;579
170216;Beuda;7;51;15;9;41;10;16;92;25
080235;Bigues i Riells del Fai;490;2100;258;434;1868;286;924;3968;544
250557;Biosca;13;78;35;11;68;42;24;146;77
170221;Bisbal d'Empordà, la;609;2778;683;629;2664;901;1238;5442;1584
430271;Bisbal de Falset, la;10;78;32;15;70;37;25;148;69
430287;Bisbal del Penedès, la;150;707;166;113;602;205;263;1309;371
172348;Biure;7;76;24;14;66;30;21;142;54
430290;Blancafort;23;108;65;24;90;69;47;198;134
170237;Blanes;2439;10927;1906;2286;10501;2382;4725;21428;4288
170293;Boadella i les Escaules;16;71;23;8;71;30;24;142;53
170242;Bolvir;15;105;24;14;101;25;29;206;49
430304;Bonastre;12;109;45;23;82;48;35;191;93
250576;Bòrdes, Es;11;83;17;10;77;14;21;160;31
170255;Bordils;111;477;109;97;442;147;208;919;256
250582;Borges Blanques, les;357;1745;499;309;1620;682;666;3365;1181
430311;Borges del Camp, les;107;534;156;99;509;172;206;1043;328
170268;Borrassà;37;168;63;30;161;74;67;329;137
080240;Borredà;37;154;52;22;151;69;59;305;121
250595;Bossòst;71;281;82;61;289;82;132;570;164
430326;Bot;30;258;131;37;219;155;67;477;286
430332;Botarell;43;226;49;47;202;57;90;428;106
250560;Bovera;12;122;68;14;105;75;26;227;143
430347;Bràfim;20;189;70;25;174;95;45;363;165
170274;Breda;252;1202;263;224;1075;329;476;2277;592
080253;Bruc, el;80;376;88;73;304;108;153;680;196
080266;Brull, el;14;82;13;9;56;23;23;138;36
170280;Brunyola i Sant Martí Sapresa;13;121;61;15;107;66;28;228;127
430350;Cabacés;15;116;47;13;90;58;28;206;105
250609;Cabanabona;3;28;18;4;25;20;7;53;38
170314;Cabanelles;17;78;34;5;64;28;22;142;62
170307;Cabanes;48;280;81;47;259;83;95;539;164
080272;Cabanyes, les;33;209;48;37;165;52;70;374;100
250616;Cabó;8;44;19;2;30;20;10;74;39
430363;Cabra del Camp;36;210;69;31;189;66;67;399;135
080288;Cabrera d'Anoia;29;217;45;34;165;38;63;382;83
080291;Cabrera de Mar;328;1379;192;303;1283;231;631;2662;423
080305;Cabrils;438;1672;183;446;1689;265;884;3361;448
170329;Cadaqués;160;794;163;173;782;229;333;1576;392
080312;Calaf;191;1045;264;194;991;331;385;2036;595
430379;Calafell;823;4507;830;846;4239;974;1669;8746;1804
080348;Calders;63;258;74;72;231;65;135;489;139
080327;Caldes d'Estrac;121;670;160;119;644;259;240;1314;419
170335;Caldes de Malavella;286;1424;328;248;1315;430;534;2739;758
080333;Caldes de Montbui;822;4418;909;768;4330;1217;1590;8748;2126
080351;Calella;966;4454;899;873;4412;1451;1839;8866;2350
080370;Calldetenes;171;733;132;143;673;154;314;1406;286
080386;Callús;85;431;145;72;424;172;157;855;317
080364;Calonge de Segarra;13;55;33;11;49;35;24;104;68
170340;Calonge i Sant Antoni;459;2413;526;466;2306;613;925;4719;1139
250621;Camarasa;34;276;139;39;238;159;73;514;298
439039;Camarles;193;932;303;195;929;335;388;1861;638
430385;Cambrils;1644;7158;1109;1577;7120;1334;3221;14278;2443
170353;Camós;35;226;66;37;208;65;72;434;131
170366;Campdevànol;181;1122;349;189;1059;470;370;2181;819
170372;Campelles;4;49;14;2;40;16;6;89;30
080399;Campins;20;107;23;31;88;23;51;195;46
170388;Campllong;26;101;31;23;100;26;49;201;57
170391;Camprodon;103;777;258;123;748;310;226;1525;568
250637;Canejan;4;35;13;5;35;16;9;70;29
170405;Canet d'Adri;35;194;41;35;161;53;70;355;94
080403;Canet de Mar;699;3508;739;640;3373;1179;1339;6881;1918
080410;Canovelles;970;4863;733;963;4557;930;1933;9420;1663
080425;Cànoves i Samalús;145;713;110;125;644;133;270;1357;243
170412;Cantallops;13;89;34;11;72;48;24;161;82
080431;Canyelles;125;744;114;116;611;128;241;1355;242
430398;Capafonts;1;47;17;2;45;12;3;92;29
430402;Capçanes;20;114;50;20;135;62;40;249;112
080446;Capellades;339;1697;354;334;1661;496;673;3358;850
170427;Capmany;15;133;55;19;128;59;34;261;114
080459;Capolat;1;25;12;0;15;10;1;40;22
080462;Cardedeu;1085;4284;636;1008;4226;839;2093;8510;1475
080478;Cardona;334;1814;559;299;1747;814;633;3561;1373
080484;Carme;31;243;76;30;209;97;61;452;173
430419;Caseres;22;92;47;19;86;59;41;178;106
170448;Cassà de la Selva;604;2550;680;558;2449;851;1162;4999;1531
080497;Casserres;84;496;198;93;507;256;177;1003;454
080575;Castell de l'Areny;0;22;8;2;11;5;2;33;13
259046;Castell de Mur;8;43;27;9;39;23;17;82;50
250642;Castellar de la Ribera;8;40;22;9;52;22;17;92;44
080522;Castellar de n'Hug;8;64;25;11;56;24;19;120;49
080500;Castellar del Riu;10;46;10;6;35;7;16;81;17
080517;Castellar del Vallès;1533;6216;965;1412;6075;1243;2945;12291;2208
080538;Castellbell i el Vilar;172;952;255;160;874;340;332;1826;595
080543;Castellbisbal;740;2967;366;693;2699;422;1433;5666;788
080556;Castellcir;31;149;24;22;110;30;53;259;54
250674;Castelldans;61;287;135;57;265;154;118;552;289
080569;Castelldefels;3669;16988;1881;3474;16548;2531;7143;33536;4412
080581;Castellet i la Gornal;80;490;135;81;457;161;161;947;296
170464;Castellfollit de la Roca;61;302;115;47;283;155;108;585;270
