Población a 1 de enero. Por sexo y edad en grandes grupos
Municipios. 2021
Fuente: Idescat, a partir del Padrón continuo del INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1181&by=mun&lang=es
Código;Literal;Hombres. De 0 a 14 años;Hombres. De 15 a 64 años;Hombres. 65 años o más;Mujeres. De 0 a 14 años;Mujeres. De 15 a 64 años;Mujeres. 65 años o más;Total. De 0 a 14 años;Total. De 15 a 64 años;Total. 65 años o más
430075;Aleixar, l';72;322;75;63;300;80;135;622;155
080039;Alella;850;3021;1008;718;3212;1145;1568;6233;2153
430081;Alfara de Carles;16;133;54;18;97;58;34;230;112
250138;Alfarràs;174;954;299;185;786;361;359;1740;660
250143;Alfés;21;102;39;13;84;42;34;186;81
430094;Alforja;129;647;161;119;587;200;248;1234;361
250156;Algerri;24;139;69;14;98;79;38;237;148
250169;Alguaire;207;1114;311;233;860;340;440;1974;651
250175;Alins;13;88;46;10;83;39;23;171;85
430108;Alió;41;136;60;50;144;47;91;280;107
250194;Almacelles;504;2564;614;451;2008;734;955;4572;1348
250208;Almatret;9;108;56;5;72;60;14;180;116
250215;Almenar;223;1195;360;196;945;446;419;2140;806
430115;Almoster;92;467;99;80;473;111;172;940;210
250220;Alòs de Balaguer;6;47;21;2;27;19;8;74;40
170062;Alp;103;626;120;82;581;133;185;1207;253
080044;Alpens;18;105;20;14;84;28;32;189;48
250236;Alpicat;560;2163;436;543;2077;495;1103;4240;931
250241;Alt Àneu;26;161;63;14;125;41;40;286;104
430120;Altafulla;451;1748;480;485;1815;533;936;3563;1013
170078;Amer;161;757;252;160;735;318;321;1492;570
430136;Ametlla de Mar, l';472;2302;846;445;2140;926;917;4442;1772
080057;Ametlla del Vallès, l';719;3062;646;675;3002;683;1394;6064;1329
439060;Ampolla, l';204;1116;458;203;1013;450;407;2129;908
430141;Amposta;1762;7153;1861;1588;6742;2211;3350;13895;4072
170084;Anglès;476;1903;471;457;1795;607;933;3698;1078
250273;Anglesola;106;436;144;118;382;170;224;818;314
250292;Arbeca;123;728;263;116;613;298;239;1341;561
430167;Arboç, l';514;1964;408;504;1735;500;1018;3699;908
430154;Arbolí;5;59;12;4;32;14;9;91;26
170097;Arbúcies;532;2252;571;521;1973;658;1053;4225;1229
080060;Arenys de Mar;1124;5186;1439;1047;5070;2076;2171;10256;3515
080076;Arenys de Munt;760;3155;734;619;3050;873;1379;6205;1607
170101;Argelaguer;25;141;46;23;135;47;48;276;93
080082;Argençola;13;82;19;17;68;21;30;150;40
430173;Argentera, l';1;55;16;4;33;17;5;88;33
080095;Argentona;990;4254;1036;954;4107;1288;1944;8361;2324
170118;Armentera, l';86;326;91;87;309;99;173;635;190
430189;Arnes;18;117;83;21;114;88;39;231;171
250313;Arres;4;36;4;4;17;2;8;53;6
250328;Arsèguel;8;32;9;7;25;4;15;57;13
080109;Artés;441;1985;482;441;1847;586;882;3832;1068
250334;Artesa de Lleida;88;585;135;88;460;169;176;1045;304
250349;Artesa de Segre;245;1186;341;241;1027;401;486;2213;742
430192;Ascó;101;517;202;95;483;213;196;1000;415
250365;Aspa;10;60;33;11;57;36;21;117;69
250371;Avellanes i Santa Linya, les;23;146;81;30;99;68;53;245;149
080116;Avià;172;709;219;149;706;244;321;1415;463
080121;Avinyó;173;766;209;153;695;290;326;1461;499
170123;Avinyonet de Puigventós;141;590;94;143;587;102;284;1177;196
080137;Avinyonet del Penedès;96;642;168;106;512;177;202;1154;345
080155;Badalona;17330;74109;18562;16205;72395;24405;33535;146504;42967
089045;Badia del Vallès;973;4333;1167;944;4134;1677;1917;8467;2844
080168;Bagà;110;694;261;112;649;319;222;1343;580
250390;Baix Pallars;20;122;42;15;98;45;35;220;87
250404;Balaguer;1502;6128;1288;1404;5325;1762;2906;11453;3050
080174;Balenyà;312;1349;295;273;1300;371;585;2649;666
080180;Balsareny;198;1125;309;208;1004;434;406;2129;743
430206;Banyeres del Penedès;285;1108;266;278;1050;293;563;2158;559
170157;Banyoles;1821;6705;1514;1653;6464;2011;3474;13169;3525
250411;Barbens;59;362;97;60;246;119;119;608;216
430213;Barberà de la Conca;30;181;51;31;117;62;61;298;113
082520;Barberà del Vallès;2737;10930;2570;2636;10885;3258;5373;21815;5828
080193;Barcelona;101227;538081;139436;95845;552841;209302;197072;1090922;348738
250426;Baronia de Rialb, la;6;75;37;11;65;35;17;140;72
170160;Bàscara;78;354;91;73;297;122;151;651;213
250447;Bassella;15;74;30;7;67;31;22;141;61
430228;Batea;137;546;254;127;511;304;264;1057;558
250450;Bausen;0;20;14;2;19;11;2;39;25
080207;Begues;669;2538;478;642;2480;549;1311;5018;1027
170139;Begur;232;1359;429;235;1323;461;467;2682;890
250463;Belianes;25;147;85;24;159;81;49;306;166
251706;Bellaguarda;13;103;38;9;80;49;22;183;87
170182;Bellcaire d'Empordà;48;210;72;54;225;90;102;435;162
250479;Bellcaire d'Urgell;75;408;146;70;347;179;145;755;325
250485;Bell-lloc d'Urgell;157;782;216;173;734;267;330;1516;483
250498;Bellmunt d'Urgell;11;62;17;9;54;29;20;116;46
430234;Bellmunt del Priorat;17;94;32;11;81;46;28;175;78
080214;Bellprat;4;28;14;1;16;10;5;44;24
250501;Bellpuig;370;1951;416;400;1476;538;770;3427;954
430249;Bellvei;193;794;196;192;723;205;385;1517;401
250518;Bellver de Cerdanya;163;727;216;134;661;234;297;1388;450
250523;Bellvís;162;758;233;135;648;322;297;1406;555
250539;Benavent de Segrià;102;594;114;107;491;125;209;1085;239
430252;Benifallet;30;227;101;28;213;142;58;440;243
430265;Benissanet;63;423;129;62;304;148;125;727;277
080229;Berga;1212;5452;1589;1075;5185;2169;2287;10637;3758
170195;Besalú;196;721;258;196;802;329;392;1523;587
170209;Bescanó;496;1696;375;447;1634;446;943;3330;821
170216;Beuda;13;70;13;17;62;12;30;132;25
080235;Bigues i Riells del Fai;758;3407;685;755;3159;778;1513;6566;1463
250557;Biosca;4;62;30;7;45;30;11;107;60
170221;Bisbal d'Empordà, la;1041;3720;835;938;3591;1065;1979;7311;1900
430271;Bisbal de Falset, la;16;75;33;7;51;36;23;126;69
430287;Bisbal del Penedès, la;282;1335;395;249;1185;384;531;2520;779
172348;Biure;18;75;34;11;73;33;29;148;67
430290;Blancafort;20;143;46;23;114;52;43;257;98
170237;Blanes;2802;13800;3452;2619;13261;4340;5421;27061;7792
170293;Boadella i les Escaules;14;88;36;16;85;32;30;173;68
170242;Bolvir;38;178;40;30;159;44;68;337;84
430304;Bonastre;66;257;61;60;223;60;126;480;121
250576;Bòrdes, Es;20;112;26;18;85;24;38;197;50
170255;Bordils;147;617;140;146;580;166;293;1197;306
250582;Borges Blanques, les;502;2054;611;459;1831;738;961;3885;1349
430311;Borges del Camp, les;189;713;175;152;635;240;341;1348;415
170268;Borrassà;76;247;65;64;229;71;140;476;136
080240;Borredà;19;178;60;17;116;65;36;294;125
250595;Bossòst;61;395;90;78;377;119;139;772;209
430326;Bot;27;169;93;24;147;106;51;316;199
430332;Botarell;91;400;68;94;359;82;185;759;150
250560;Bovera;13;89;45;10;56;48;23;145;93
430347;Bràfim;57;226;64;58;202;88;115;428;152
170274;Breda;241;1272;381;258;1224;460;499;2496;841
080253;Bruc, el;195;817;148;175;711;131;370;1528;279
080266;Brull, el;23;106;20;25;79;22;48;185;42
170280;Brunyola i Sant Martí Sapresa;19;134;47;26;116;48;45;250;95
430350;Cabacés;16;108;41;20;81;46;36;189;87
250609;Cabanabona;0;22;6;1;17;14;1;39;20
170314;Cabanelles;25;96;27;17;67;34;42;163;61
170307;Cabanes;66;331;107;65;274;98;131;605;205
080272;Cabanyes, les;111;336;68;80;341;69;191;677;137
250616;Cabó;4;32;11;6;25;16;10;57;27
430363;Cabra del Camp;74;459;114;73;392;118;147;851;232
080288;Cabrera d'Anoia;110;574;119;106;504;108;216;1078;227
080291;Cabrera de Mar;355;1610;434;350;1592;446;705;3202;880
080305;Cabrils;612;2563;577;600;2616;599;1212;5179;1176
170329;Cadaqués;177;960;241;172;980;290;349;1940;531
080312;Calaf;327;1150;328;299;1074;419;626;2224;747
430379;Calafell;2130;9499;2651;1952;9168;3063;4082;18667;5714
080348;Calders;86;364;89;79;348;97;165;712;186
080327;Caldes d'Estrac;201;1019;252;199;1053;373;400;2072;625
170335;Caldes de Malavella;690;2714;620;650;2643;734;1340;5357;1354
080333;Caldes de Montbui;1408;6017;1425;1267;5821;1859;2675;11838;3284
080351;Calella;1351;6345;1660;1304;6200;2376;2655;12545;4036
080370;Calldetenes;200;859;215;196;799;235;396;1658;450
080386;Callús;175;717;144;176;662;224;351;1379;368
080364;Calonge de Segarra;9;68;18;12;50;37;21;118;55
170340;Calonge i Sant Antoni;847;3808;1107;737;3742;1243;1584;7550;2350
250621;Camarasa;46;248;114;39;220;140;85;468;254
439039;Camarles;248;1047;352;182;957;434;430;2004;786
430385;Cambrils;3031;11518;2601;2786;11863;3265;5817;23381;5866
170353;Camós;53;225;76;43;211;103;96;436;179
170366;Campdevànol;200;993;374;196;964;498;396;1957;872
170372;Campelles;7;50;19;9;44;20;16;94;39
080399;Campins;26;204;47;43;180;40;69;384;87
170388;Campllong;51;188;25;55;177;37;106;365;62
170391;Camprodon;154;752;287;142;750;350;296;1502;637
250637;Canejan;2;28;15;5;31;8;7;59;23
170405;Canet d'Adri;63;247;77;54;228;80;117;475;157
080403;Canet de Mar;1119;4756;1352;1002;4753;1828;2121;9509;3180
439076;Canonja, la;511;1956;425;496;2018;527;1007;3974;952
080410;Canovelles;1567;5982;1204;1405;5247;1467;2972;11229;2671
080425;Cànoves i Samalús;272;1101;269;254;1043;280;526;2144;549
170412;Cantallops;16;95;43;20;84;47;36;179;90
080431;Canyelles;386;1772;375;353;1625;375;739;3397;750
430398;Capafonts;3;46;19;6;37;14;9;83;33
430402;Capçanes;18;124;58;23;111;60;41;235;118
080446;Capellades;384;1768;495;371;1663;633;755;3431;1128
170427;Capmany;38;202;73;36;194;75;74;396;148
080459;Capolat;10;23;7;7;30;7;17;53;14
080462;Cardedeu;1604;6155;1307;1589;6214;1740;3193;12369;3047
080478;Cardona;279;1423;554;294;1330;713;573;2753;1267
080484;Carme;47;263;87;56;219;96;103;482;183
430419;Caseres;7;63;46;10;56;44;17;119;90
170448;Cassà de la Selva;906;3678;762;878;3308;973;1784;6986;1735
080497;Casserres;114;501;197;116;469;239;230;970;436
080575;Castell de l'Areny;5;26;9;1;27;4;6;53;13
259046;Castell de Mur;8;60;29;5;42;25;13;102;54
250642;Castellar de la Ribera;18;36;14;10;41;17;28;77;31
080522;Castellar de n'Hug;4;67;16;6;49;25;10;116;41
080500;Castellar del Riu;18;58;22;11;49;13;29;107;35
080517;Castellar del Vallès;2020;8288;1884;1824;8306;2337;3844;16594;4221
080538;Castellbell i el Vilar;261;1383;341;282;1203;383;543;2586;724
080543;Castellbisbal;1100;4457;791;1041;4283;938;2141;8740;1729
080556;Castellcir;60;272;60;69;244;48;129;516;108
250674;Castelldans;51;326;104;52;251;116;103;577;220
080569;Castelldefels;5373;23163;4394;5019;23355;5922;10392;46518;10316
080581;Castellet i la Gornal;173;870;235;179;747;248;352;1617;483
170464;Castellfollit de la Roca;74;306;106;49;271;133;123;577;239
080608;Castellfollit de Riubregós;7;60;21;8;41;26;15;101;47
080594;Castellfollit del Boix;37;152;44;32;132;51;69;284;95
080615;Castellgalí;193;746;204;174;655;207;367;1401;411
080620;Castellnou de Bages;131;530;91;125;446;97;256;976;188
250680;Castellnou de Seana;51;221;87;49;180;104;100;401;191
170470;Castelló d'Empúries;862;3757;1010;854;3593;1078;1716;7350;2088
250693;Castelló de Farfanya;34;186;67;32;137;73;66;323;140
080636;Castellolí;43;223;51;77;207;52;120;430;103
170486;Castell-Platja d'Aro;795;3824;1035;763;3822;1216;1558;7646;2251
250707;Castellserà;58;315;125;56;265;157;114;580;282
080641;Castellterçol;164;907;262;161;802;336;325;1709;598
430424;Castellvell del Camp;224;994;223;202;1005;225;426;1999;448
080654;Castellví de la Marca;104;541;175;96;501;180;200;1042;355
080667;Castellví de Rosanes;144;708;134;159;672;179;303;1380;313
430430;Catllar, el;445;1665;357;351;1576;346;796;3241;703
250714;Cava;2;20;10;1;7;6;3;27;16
171899;Cellera de Ter, la;149;608;207;133;625;251;282;1233;458
170499;Celrà;571;1956;281;572;1911;315;1143;3867;596
080673;Centelles;597;2527;612;570;2443;846;1167;4970;1458
082687;Cercs;78;385;133;63;341;190;141;726;323
082665;Cerdanyola del Vallès;3995;18889;5027;3663;19169;6474;7658;38058;11501
080689;Cervelló;772;3147;714;713;2991;896;1485;6138;1610
250729;Cervera;790;3287;686;736;2954;875;1526;6241;1561
